name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
D3: The Mighty Ducks,PG,Action,1996,"October 4, 1996 (United States)",5.5,26000.0,Robert Lieberman,Steven Brill,Emilio Estevez,United States,,22955097.0,Walt Disney Pictures,104.0
Broken Arrow,R,Action,1996,"February 9, 1996 (United States)",6.0,93000.0,John Woo,Graham Yost,John Travolta,United States,50000000.0,150270147.0,Twentieth Century Fox,108.0
Emma,PG,Comedy,1996,"August 30, 1996 (United States)",6.7,37000.0,Douglas McGrath,Jane Austen,Gwyneth Paltrow,United Kingdom,6000000.0,22231658.0,Miramax,120.0
Chain Reaction,PG-13,Action,1996,"August 2, 1996 (United States)",5.7,49000.0,Andrew Davis,Arne Schmidt,Keanu Reeves,United States,50000000.0,60209334.0,3 Arts Entertainment,107.0
Kama Sutra: A Tale of Love,Unrated,Crime,1996,"February 28, 1997 (United States)",6.0,10000.0,Mira Nair,Helena Kriel,Naveen Andrews,United Kingdom,3000000.0,4109095.0,NDF International,114.0
The Crucible,PG-13,Drama,1996,"November 27, 1996 (United States)",6.8,36000.0,Nicholas Hytner,Arthur Miller,Daniel Day-Lewis,United States,25000000.0,7343114.0,Twentieth Century Fox,124.0
Pusher,Not Rated,Crime,1996,"August 30, 1996 (Denmark)",7.4,37000.0,Nicolas Winding Refn,Jens Dahl,Kim Bodnia,Denmark,,1605.0,Balboa Entertainment,110.0
Waiting for Guffman,R,Comedy,1996,"January 31, 1997 (United States)",7.5,28000.0,Christopher Guest,Christopher Guest,Christopher Guest,United States,4000000.0,2923982.0,Castle Rock Entertainment,84.0
Secrets & Lies,R,Comedy,1996,"February 28, 1997 (United States)",8.0,39000.0,Mike Leigh,Mike Leigh,Timothy Spall,United Kingdom,4500000.0,13417292.0,Channel Four Films,136.0
Daylight,PG-13,Action,1996,"December 6, 1996 (United States)",5.9,68000.0,Rob Cohen,Leslie Bohem,Sylvester Stallone,United States,80000000.0,159212469.0,Universal Pictures,114.0
Last Man Standing,R,Action,1996,"September 20, 1996 (United States)",6.4,54000.0,Walter Hill,Ryûzô Kikushima,Bruce Willis,United States,67000000.0,47267001.0,New Line Cinema,101.0
The Arrival,PG-13,Mystery,1996,"May 31, 1996 (United States)",6.2,34000.0,David Twohy,David Twohy,Charlie Sheen,United States,25000000.0,14063331.0,Live Entertainment,115.0
Ransom,R,Action,1996,"November 8, 1996 (United States)",6.7,121000.0,Ron Howard,Cyril Hume,Mel Gibson,United States,80000000.0,309492681.0,Touchstone Pictures,121.0
Beavis and Butt-Head Do America,PG-13,Animation,1996,"December 20, 1996 (United States)",6.8,53000.0,Directors,Mike Judge,Mike Judge,United States,12000000.0,63118386.0,Paramount Pictures,81.0
Fly Away Home,PG,Adventure,1996,"September 13, 1996 (United States)",6.8,24000.0,Carroll Ballard,Bill Lishman,Jeff Daniels,United States,22000000.0,25143818.0,Columbia Pictures,107.0
Tin Cup,R,Comedy,1996,"August 16, 1996 (United States)",6.4,47000.0,Ron Shelton,John Norville,Kevin Costner,United States,45000000.0,53854588.0,New Regency Productions,135.0
Barb Wire,R,Action,1996,"May 3, 1996 (United States)",3.4,26000.0,David Hogan,Chris Warner,Pamela Anderson,United States,9000000.0,3793614.0,Polygram Filmed Entertainment,98.0
Breaking the Waves,R,Drama,1996,"November 13, 1996 (United States)",7.8,64000.0,Lars von Trier,Lars von Trier,Emily Watson,Denmark,,3828405.0,ARTE,159.0
The Phantom,PG,Action,1996,"June 7, 1996 (United States)",5.0,33000.0,Simon Wincer,Lee Falk,Billy Zane,Australia,45000000.0,17323326.0,Paramount Pictures,100.0
The Fan,R,Action,1996,"August 16, 1996 (United States)",5.9,47000.0,Tony Scott,Peter Abrahams,Robert De Niro,United States,55000000.0,18626419.0,TriStar Pictures,116.0
Eye for an Eye,R,Crime,1996,"January 12, 1996 (United States)",6.2,14000.0,John Schlesinger,Erika Holzer,Sally Field,United States,20000000.0,26877589.0,Paramount Pictures,101.0
2 Days in the Valley,R,Comedy,1996,"September 27, 1996 (United States)",6.5,19000.0,John Herzfeld,John Herzfeld,Teri Hatcher,United States,,11132210.0,Rysher Entertainment,104.0
Trees Lounge,R,Comedy,1996,"October 11, 1996 (United States)",7.1,14000.0,Steve Buscemi,Steve Buscemi,Steve Buscemi,United States,1300000.0,749741.0,Addis Wechsler Pictures,95.0
The People vs. Larry Flynt,R,Biography,1996,"January 10, 1997 (United States)",7.3,90000.0,Milos Forman,Scott Alexander,Woody Harrelson,United States,36000000.0,20300385.0,Columbia Pictures,130.0
Freeway,R,Comedy,1996,"September 3, 1997 (France)",6.8,27000.0,Matthew Bright,Matthew Bright,Reese Witherspoon,United States,3000000.0,295493.0,The Kushner-Locke Company,102.0
Kazaam,PG,Comedy,1996,"July 17, 1996 (United States)",3.0,23000.0,Paul Michael Glaser,Paul Michael Glaser,Shaquille O'Neal,United States,20000000.0,18937262.0,Interscope Communications,93.0
Down Periscope,PG-13,Comedy,1996,"March 1, 1996 (United States)",6.2,22000.0,David S. Ward,Hugh Wilson,Kelsey Grammer,United States,31000000.0,37553752.0,Twentieth Century Fox,92.0
Michael,PG,Comedy,1996,"December 25, 1996 (United States)",5.7,42000.0,Nora Ephron,Peter Dexter,John Travolta,United States,,119718203.0,Turner Pictures (I),105.0
Mulholland Falls,R,Crime,1996,"April 26, 1996 (United States)",6.3,16000.0,Lee Tamahori,Peter Dexter,Nick Nolte,United States,29000000.0,11526099.0,Largo Entertainment,107.0
Jingle All the Way,PG,Adventure,1996,"November 22, 1996 (United States)",5.6,95000.0,Brian Levant,Randy Kornfield,Arnold Schwarzenegger,United States,60000000.0,129832389.0,1492 Pictures,89.0
She's the One,R,Comedy,1996,"August 23, 1996 (United States)",6.0,17000.0,Edward Burns,Edward Burns,Edward Burns,United States,3500000.0,9538948.0,Good Machine,96.0
Brassed Off,R,Comedy,1996,"May 23, 1997 (United States)",7.2,19000.0,Mark Herman,Mark Herman,Pete Postlethwaite,United Kingdom,,2576738.0,Channel Four Films,108.0
Shine,PG-13,Biography,1996,"February 14, 1997 (United States)",7.7,52000.0,Scott Hicks,Jan Sardi,Geoffrey Rush,Australia,5500000.0,35999081.0,Australian Film Finance Corporation (AFFC),105.0
Black Sheep,PG-13,Comedy,1996,"February 2, 1996 (United States)",6.3,38000.0,Penelope Spheeris,Fred Wolf,Chris Farley,United States,,32417995.0,Broadway Pictures,87.0
Maximum Risk,R,Action,1996,"September 13, 1996 (United States)",5.5,21000.0,Ringo Lam,Larry Ferguson,Jean-Claude Van Damme,United States,25000000.0,14502483.0,Columbia Pictures,101.0
One Fine Day,PG,Comedy,1996,"December 20, 1996 (United States)",6.5,44000.0,Michael Hoffman,Terrel Seltzer,Michelle Pfeiffer,United States,,97529550.0,Fox 2000 Pictures,108.0
Lone Star,R,Drama,1996,"June 21, 1996 (United States)",7.4,28000.0,John Sayles,John Sayles,Chris Cooper,United States,5000000.0,12408986.0,Columbia Pictures,135.0
Michael Collins,R,Biography,1996,"October 25, 1996 (United States)",7.2,30000.0,Neil Jordan,Neil Jordan,Liam Neeson,United Kingdom,25000000.0,11135803.0,Warner Bros.,133.0
Phenomenon,PG,Drama,1996,"July 3, 1996 (United States)",6.4,76000.0,Jon Turteltaub,Gerald Di Pego,John Travolta,United States,32000000.0,152036382.0,Touchstone Pictures,123.0
Harriet the Spy,PG,Comedy,1996,"July 10, 1996 (United States)",5.9,9800.0,Bronwen Hughes,Louise Fitzhugh,Michelle Trachtenberg,United States,12000000.0,26570048.0,Paramount Pictures,100.0
Flipper,PG,Adventure,1996,"May 17, 1996 (United States)",5.3,10000.0,Alan Shapiro,Ricou Browning,Paul Hogan,United States,25530000.0,20080020.0,Universal Pictures,95.0
Evita,PG,Biography,1996,"January 10, 1997 (United States)",6.3,34000.0,Alan Parker,Tim Rice,Madonna,United States,55000000.0,141047179.0,Hollywood Pictures,135.0
Diabolique,R,Drama,1996,"March 22, 1996 (United States)",5.4,14000.0,Jeremiah S. Chechik,Pierre Boileau,Sharon Stone,United States,,17100266.0,ABC Productions,107.0
Bordello of Blood,R,Comedy,1996,"August 16, 1996 (United States)",5.4,14000.0,Gilbert Adler,William M. Gaines,Dennis Miller,United States,13000000.0,5781045.0,Universal City Studios,87.0
Spy Hard,PG-13,Action,1996,"May 24, 1996 (United States)",5.4,37000.0,Rick Friedberg,Jason Friedberg,Leslie Nielsen,United States,18000000.0,26960191.0,Hollywood Pictures,81.0
The Substitute,R,Action,1996,"April 19, 1996 (United States)",6.0,13000.0,Robert Mandel,Roy Frumkes,Tom Berenger,United States,,14818176.0,Dinamo Entertainment,114.0
Marvin's Room,PG-13,Drama,1996,"February 28, 1997 (United States)",6.7,26000.0,Jerry Zaks,Scott McPherson,Meryl Streep,United States,23000000.0,12803305.0,Scott Rudin Productions,98.0
Multiplicity,PG-13,Comedy,1996,"July 17, 1996 (United States)",6.1,31000.0,Harold Ramis,Chris Miller,Michael Keaton,United States,45000000.0,21075014.0,Columbia Pictures,117.0
House Arrest,PG,Comedy,1996,"August 14, 1996 (United States)",5.8,8200.0,Harry Winer,Michael Hitchcock,Jamie Lee Curtis,United States,,7032782.0,Metro-Goldwyn-Mayer (MGM),108.0
Everyone Says I Love You,R,Comedy,1996,"January 17, 1997 (United States)",6.7,36000.0,Woody Allen,Woody Allen,Woody Allen,United States,20000000.0,9759200.0,Miramax,101.0
A Very Brady Sequel,PG-13,Comedy,1996,"August 23, 1996 (United States)",5.8,10000.0,Arlene Sanford,Sherwood Schwartz,Shelley Long,United States,12000000.0,21440752.0,Paramount Pictures,90.0
The Crow: City of Angels,R,Action,1996,"August 30, 1996 (United States)",4.7,19000.0,Tim Pope,James O'Barr,Vincent Perez,United States,13000000.0,17917287.0,Bad Bird Productions,84.0
Basquiat,R,Biography,1996,"August 9, 1996 (United States)",6.9,20000.0,Julian Schnabel,Lech Majewski,Jeffrey Wright,United States,3300000.0,3011195.0,Eleventh Street Production,107.0
The Quest,PG-13,Action,1996,"April 26, 1996 (United States)",5.6,25000.0,Jean-Claude Van Damme,Frank Dux,Jean-Claude Van Damme,Canada,30000000.0,57400547.0,MDP Worldwide,95.0
Muppet Treasure Island,G,Action,1996,"February 16, 1996 (United States)",7.0,22000.0,Brian Henson,Robert Louis Stevenson,Tim Curry,United States,,34327391.0,Walt Disney Pictures,99.0
Hellraiser: Bloodline,R,Horror,1996,"March 8, 1996 (United States)",5.1,20000.0,Director,Peter Atkins,Bruce Ramsay,United States,4000000.0,9336886.0,Dimension Films,85.0
Manny & Lo,R,Comedy,1996,"July 26, 1996 (United States)",6.6,1900.0,Lisa Krueger,Lisa Krueger,Scarlett Johansson,United States,500000.0,502313.0,Pope Productions,88.0
Beautiful Thing,R,Comedy,1996,"October 9, 1996 (United States)",7.6,23000.0,Hettie Macdonald,Jonathan Harvey,Glen Berry,United Kingdom,,1548120.0,Channel Four Films,90.0
The Chamber,R,Crime,1996,"October 11, 1996 (United States)",6.0,13000.0,James Foley,John Grisham,Chris O'Donnell,United States,50000000.0,22540359.0,Universal Pictures,113.0
Blood and Wine,R,Crime,1996,"February 21, 1997 (United States)",6.0,9400.0,Bob Rafelson,Nick Villiers,Jack Nicholson,United States,22000000.0,1094668.0,Recorded Picture Company (RPC),101.0
Jude,R,Drama,1996,"October 18, 1996 (United States)",6.9,10000.0,Michael Winterbottom,Hossein Amini,Christopher Eccleston,United Kingdom,7000000.0,409144.0,BBC Films,123.0
Bulletproof,R,Action,1996,"September 6, 1996 (United States)",5.8,36000.0,Ernest R. Dickerson,Joe Gayton,Damon Wayans,United States,25000000.0,22611954.0,Universal Pictures,84.0
Mad Dog Time,R,Comedy,1996,"November 8, 1996 (United States)",5.4,2700.0,Larry Bishop,Larry Bishop,Michael J. Pollard,United States,8000000.0,107874.0,Bruin Grip Services,93.0
Irma Vep,Not Rated,Comedy,1996,"April 30, 1997 (United States)",7.1,5900.0,Olivier Assayas,Olivier Assayas,Maggie Cheung,France,,292040.0,Dacia Films,99.0
Mrs. Winterbourne,PG-13,Comedy,1996,"April 19, 1996 (United States)",6.2,7100.0,Richard Benjamin,Cornell Woolrich,Shirley MacLaine,United States,25000000.0,10082005.0,TriStar Pictures,105.0
The Portrait of a Lady,PG-13,Drama,1996,"January 17, 1997 (United States)",6.2,11000.0,Jane Campion,Henry James,Nicole Kidman,United Kingdom,,3692836.0,Polygram Filmed Entertainment,144.0
Foxfire,R,Drama,1996,"August 23, 1996 (United States)",6.2,8800.0,Annette Haywood-Carter,Joyce Carol Oates,Hedy Burress,United States,,269300.0,Chestnut Hill Productions,102.0
The Glimmer Man,R,Action,1996,"October 4, 1996 (United States)",5.4,19000.0,John Gray,Kevin Brodbin,Steven Seagal,United States,45000000.0,20351264.0,Warner Bros.,91.0
Up Close & Personal,PG-13,Drama,1996,"March 1, 1996 (United States)",6.2,14000.0,Jon Avnet,Joan Didion,Robert Redford,United States,60000000.0,100688705.0,Touchstone Pictures,124.0
The Juror,R,Crime,1996,"February 2, 1996 (United States)",5.7,18000.0,Brian Gibson,George Dawes Green,Demi Moore,United States,44000000.0,22754725.0,Columbia Pictures,118.0
Flirting with Disaster,R,Comedy,1996,"April 12, 1996 (United States)",6.7,18000.0,David O. Russell,David O. Russell,Ben Stiller,United States,7000000.0,14702438.0,Miramax,92.0
Homeward Bound II: Lost in San Francisco,G,Adventure,1996,"March 8, 1996 (United States)",6.0,14000.0,David R. Ellis,Chris Hauty,Michael J. Fox,United States,,32772492.0,Walt Disney Pictures,88.0
Joe's Apartment,PG-13,Comedy,1996,"July 26, 1996 (United States)",5.5,13000.0,John Payson,John Payson,Jerry O'Connell,United States,13000000.0,4619014.0,Geffen Pictures,80.0
Ghosts of Mississippi,PG-13,Drama,1996,"January 3, 1997 (United States)",6.7,10000.0,Rob Reiner,Lewis Colick,Alec Baldwin,United States,36000000.0,13323144.0,Castle Rock Entertainment,130.0
A Summer's Tale,G,Comedy,1996,"June 20, 2014 (United States)",7.6,7000.0,Éric Rohmer,Éric Rohmer,Melvil Poupaud,France,,198126.0,Canal+,113.0
The Preacher's Wife,PG,Comedy,1996,"December 13, 1996 (United States)",5.6,11000.0,Penny Marshall,Robert Nathan,Denzel Washington,United States,40000000.0,48102795.0,Mundy Lane Entertainment,123.0
Jane Eyre,PG,Drama,1996,"April 12, 1996 (United States)",6.8,9200.0,Franco Zeffirelli,Charlotte Brontë,William Hurt,France,,5200601.0,Cineritino S.r.L.,112.0
If Lucy Fell,R,Comedy,1996,"March 8, 1996 (United States)",4.9,3800.0,Eric Schaeffer,Eric Schaeffer,Sarah Jessica Parker,United States,5000000.0,2420162.0,Motion Picture Corporation of America (MPCA),92.0
SubUrbia,R,Comedy,1996,"July 3, 1997 (Germany)",6.8,9000.0,Richard Linklater,Eric Bogosian,Giovanni Ribisi,United States,,656747.0,Castle Rock Entertainment,121.0
First Strike,PG-13,Action,1996,"January 10, 1997 (United States)",6.6,20000.0,Stanley Tong,Greg Mellott,Jackie Chan,Hong Kong,,21890845.0,Golden Harvest Company,107.0
Bad Moon,R,Horror,1996,"November 1, 1996 (United States)",5.8,6200.0,Eric Red,Wayne Smith,Mariel Hemingway,United States,7000000.0,1060264.0,Morgan Creek Entertainment,80.0
Dunston Checks In,PG,Adventure,1996,"January 12, 1996 (United States)",5.4,12000.0,Ken Kwapis,John Hopkins,Jason Alexander,United States,,9871065.0,Joe Wizan/Todd Black,88.0
Carpool,PG,Comedy,1996,"August 23, 1996 (United States)",5.0,4600.0,Arthur Hiller,Don Rhymer,Tom Arnold,United States,17000000.0,3325651.0,New Regency Productions,89.0
The Daytrippers,R,Comedy,1996,"March 5, 1997 (United States)",7.0,4900.0,Greg Mottola,Greg Mottola,Hope Davis,Canada,,2099677.0,Alliance Communications Corporation,87.0
Before and After,PG-13,Crime,1996,"February 23, 1996 (United States)",6.1,8500.0,Barbet Schroeder,Rosellen Brown,Meryl Streep,United States,35000000.0,8797839.0,Caravan Pictures,108.0
Citizen Ruth,R,Comedy,1996,"December 13, 1996 (United States)",7.0,7500.0,Alexander Payne,Alexander Payne,Laura Dern,United States,3000000.0,285112.0,Independent Pictures (II),106.0
Extreme Measures,R,Crime,1996,"September 27, 1996 (United States)",6.2,17000.0,Michael Apted,Michael Palmer,Hugh Grant,United Kingdom,38000000.0,17380126.0,Castle Rock Entertainment,118.0
Female Perversions,R,Drama,1996,"April 25, 1997 (United States)",5.4,2300.0,Susan Streitfeld,Louise J. Kaplan,Tilda Swinton,Germany,,926954.0,Mindy Affrime,120.0
